Tamil letter,Example word,English,Roman,TTS
தோ,தோடு,ear‑stud,thoo,thoo
தௌ,தௌம்,—,thau,thau
நா,நாள்,day,naa,naa
நி,நிறம்,colour,ni,ni
நீ,நீள்,long,nii,nii
நு,நும்,—,nu,nu
நூ,நூல்,thread / book,nuu,nuu
நெ,நெல்,paddy,ne,ne
நே,நேசம்,affection,nee,nee
நை,நைம்,—,nai,nai
நொ,நொம்,—,no,no
நோ,நோய்,disease,noo,noo
நௌ,நௌம்,—,nau,nau
பா,பாம்,—,paa,paa
பி,பிம்,—,pi,pi
பீ,பீம்,—,pii,pii
பு,பும்,—,pu,pu
பூ,பூம்,—,puu,puu
பெ,பெம்,—,pe,pe
பே,பேம்,—,pee,pee
பை,பைம்,—,pai,pai
பொ,பொம்,—,po,po
போ,போம்,—,poo,poo
பௌ,பௌம்,—,pau,pau
மா,மான்,deer,maa,maa
மி,மிகு,abundant,mi,mi
மீ,மீன்,fish,mii,mii
மு,முறை,method,mu,mu
மூ,மூலி,radish,muu,muu
மெ,மெத்தை,softness,me,me
மே,மேசை,table,mee,mee
மை,மை,ink,mai,mai
மொ,மொம்,—,mo,mo
மோ,மோம்,—,moo,moo
மௌ,மௌனம்,silence,mau,mau
யா,யாம்,—,yaa,yaa
யி,யிம்,—,yi,yi
யீ,யீம்,—,yii,yii
யு,யும்,—,yu,yu
யூ,யூம்,—,yuu,yuu
யெ,யெம்,—,ye,ye
யே,யேம்,—,yee,yee
யை,யைம்,—,yai,yai
யொ,யொம்,—,yo,yo
யோ,யோம்,—,yoo,yoo
யௌ,யௌம்,—,yau,yau
ரா,ராம்,—,raa,raa
ரி,ரிம்,—,ri,ri
ரீ,ரீம்,—,rii,rii
ரு,ரும்,—,ru,ru
ரூ,ரூம்,—,ruu,ruu
ரெ,ரெம்,—,re,re
ரே,ரேம்,—,ree,ree
ரை,ரைம்,—,rai,rai
ரொ,ரொம்,—,ro,ro
ரோ,ரோம்,—,roo,roo
ரௌ,ரௌம்,—,rau,rau
லா,லாம்,—,laa,laa
லி,லிம்,—,li,li
லீ,லீம்,—,lii,lii
லு,லும்,—,lu,lu
லூ,லூம்,—,luu,luu
லெ,லெம்,—,le,le
லே,லேம்,—,lee,lee
லை,லைம்,—,lai,lai
லொ,லொம்,—,lo,lo
லோ,லோம்,—,loo,loo
லௌ,லௌம்,—,lau,lau
வா,வாம்,—,vaa,vaa
வி,விம்,—,vi,vi
வீ,வீம்,—,vii,vii
வு,வும்,—,vu,vu
வூ,வூம்,—,vuu,vuu
வெ,வெம்,—,ve,ve
வே,வேம்,—,vee,vee
வை,வைம்,—,vai,vai
வொ,வொம்,—,vo,vo
வோ,வோம்,—,voo,voo
வௌ,வௌம்,—,vau,vau
ழா,ழாம்,—,zhaa,zhaa
ழி,ழிம்,—,zhi,zhi
ழீ,ழீம்,—,zhii,zhii
ழு,ழும்,—,zhu,zhu
ழூ,ழூம்,—,zhuu,zhuu
ழெ,ழெம்,—,zhe,zhe
ழே,ழேம்,—,zhee,zhee
ழை,ழைம்,—,zhai,zhai
ழொ,ழொம்,—,zho,zho
ழோ,ழோம்,—,zhoo,zhoo
ழௌ,ழௌம்,—,zhau,zhau
ளா,ளாம்,—,Laa,Laa
ளி,ளிம்,—,Li,Li
ளீ,ளீம்,—,Lii,Lii
ளு,ளும்,—,Lu,Lu
ளூ,ளூம்,—,Luu,Luu
ளெ,ளெம்,—,Le,Le
ளே,ளேம்,—,Lee,Lee
ளை,ளைம்,—,Lai,Lai
ளொ,ளொம்,—,Lo,Lo
ளோ,ளோம்,—,Loo,Loo
ளௌ,ளௌம்,—,Lau,Lau
றா,றாம்,—,Raa,Raa
றி,றிம்,—,Ri,Ri
றீ,றீம்,—,Rii,Rii
று,றும்,—,Ru,Ru
றூ,றூம்,—,Ruu,Ruu
றெ,றெம்,—,Re,Re
றே,றேம்,—,Ree,Ree
றை,றைம்,—,Rai,Rai
றொ,றொம்,—,Ro,Ro
றோ,றோம்,—,Roo,Roo
றௌ,றௌம்,—,Rau,Rau
னா,னாம்,—,naa,naa
னி,னிம்,—,ni,ni
னீ,னீம்,—,nii,nii
னு,னும்,—,nu,nu
னூ,னூம்,—,nuu,nuu
னெ,னெம்,—,ne,ne
னே,னேம்,—,nee,nee
னை,னைம்,—,nai,nai
னொ,னொம்,—,no,no
னோ,னோம்,—,noo,noo
னௌ,னௌம்,—,nau,nau
